$$HAR,17:22:16,420272278,-936539374,279205,16516916,24,134,98546,2914,51430
$$HAR,17:22:19,420272265,-936539376,278900,16516916,172,134,98546,2915,51432
$$HAR,17:22:22,420272241,-936539378,278613,16516916,38,133,98544,2915,51426
$$HAR,17:22:25,420272255,-936539386,278839,16516916,56,128,98544,2916,51418
$$HAR,17:22:28,420272330,-936539393,280208,16516916,31,132,98544,2916,51430
$$HAR,17:22:31,420272378,-936539389,280928,16516916,16,149,98544,2917,51430
$$HAR,17:22:34,420272401,-936539387,281469,16516916,16,146,98542,2917,51418
$$HAR,17:22:37,420272362,-936539392,280985,16516916,67,163,98542,2918,51420
$$HAR,17:22:40,420272351,-936539398,280879,16516916,156,163,98546,2918,51408
$$HAR,17:22:43,420272353,-936539406,280905,16516916,37,133,98546,2918,51408
$$HAR,17:22:46,420272366,-936539412,281003,16516916,98,133,98544,2919,51402
$$HAR,17:22:49,420272376,-936539406,280930,16516916,68,133,98544,2919,51396
$$HAR,17:22:52,420272384,-936539401,280866,16516916,35,137,98546,2920,51408
$$HAR,17:22:55,420272391,-936539406,280795,16516916,56,137,98546,2921,51390
$$HAR,17:22:58,420272399,-936539417,280873,16516916,8,137,98546,2921,51390
$$HAR,17:23:1,420272380,-936539437,280793,16516916,2,137,98544,2922,51384
$$HAR,17:23:4,420272358,-936539444,280582,16516916,79,137,98546,2922,51372
$$HAR,17:23:7,420272322,-936539446,280295,16516916,33,133,98546,2923,51386
$$HAR,17:23:10,420272308,-936539456,280228,16516916,37,163,98544,2923,51362
$$HAR,17:23:13,420272322,-936539463,280459,16516916,114,163,98544,2924,51362
$$HAR,17:23:16,420272298,-936539462,280145,16516916,87,133,98546,2924,51362
$$HAR,17:23:19,420272300,-936539474,280296,16516916,152,133,98544,2925,51362
$$HAR,17:23:22,420272304,-936539477,280171,16516916,97,129,98544,2925,51362
$$HAR,17:23:25,420272337,-936539486,280622,16516916,38,129,98542,2926,51362
$$HAR,17:23:28,420272373,-936539483,280935,16516916,87,159,98544,2926,51356
$$HAR,17:23:31,420272401,-936539473,281157,16516916,34,133,98542,2927,51354
$$HAR,17:23:34,420272399,-936539458,280840,16516916,43,133,98542,2928,51346
$$HAR,17:23:37,420272397,-936539445,280519,16516916,73,128,98540,2928,51340
$$HAR,17:23:40,420272426,-936539443,280810,16516916,18,128,98542,2928,51333
$$HAR,17:23:43,420272443,-936539447,281030,16516916,22,117,98542,2929,51325
$$HAR,17:23:46,420272467,-936539447,281188,16516916,58,130,98540,2930,51327
$$HAR,17:23:49,420272469,-936539456,281319,16516916,139,128,98542,2930,51321
$$HAR,17:23:52,420272461,-936539450,281374,16516916,157,128,98542,2931,51315
$$HAR,17:23:55,420272466,-936539446,281626,16516916,71,123,98540,2931,51315
$$HAR,17:23:58,420272481,-936539429,282360,16516916,68,140,98540,2932,51319
$$HAR,17:24:1,420272547,-936539411,283542,16516916,106,158,98542,2933,51313
$$HAR,17:24:4,420272613,-936539398,284210,16516916,124,133,98542,2933,51313
$$HAR,17:24:7,420272602,-936539393,284054,16516916,189,133,98540,2933,51300
$$HAR,17:24:10,420272614,-936539382,283871,16516916,24,156,98542,2934,51303
$$HAR,17:24:13,420272621,-936539373,283643,16516916,26,156,98540,2935,51307
$$HAR,17:24:16,420272628,-936539367,283799,16516916,166,123,98540,2935,51301
$$HAR,17:24:19,420272712,-936539357,285038,16516916,91,128,98538,2936,51303
$$HAR,17:24:22,420272738,-936539360,285520,16516916,71,128,98540,2936,51303
$$HAR,17:24:25,420272731,-936539361,285132,16516916,24,156,98540,2937,51291
$$HAR,17:24:28,420272711,-936539360,284550,16516916,56,128,98538,2937,51297
$$HAR,17:24:31,420272690,-936539370,283921,16516916,68,156,98538,2938,51295
$$HAR,17:24:34,420272667,-936539368,283211,16516916,29,128,98542,2938,51295
$$HAR,17:24:37,420272671,-936539375,283086,16516916,64,128,98542,2939,51289
$$HAR,17:24:40,420272651,-936539395,282786,16516916,7,156,98542,2940,51283
$$HAR,17:24:43,420272650,-936539404,282806,16516916,108,128,98544,2940,51283
$$HAR,17:24:46,420272642,-936539407,282679,16516916,28,128,98542,2941,51277
$$HAR,17:24:49,420272622,-936539415,282435,16516916,109,128,98542,2941,51269
$$HAR,17:24:52,420272592,-936539416,282392,16516916,84,186,98540,2942,51269
$$HAR,17:24:55,420272587,-936539413,282330,16516916,16,191,98542,2942,51257
$$HAR,17:24:58,420272601,-936539409,282604,16516916,146,150,98542,2943,51267
$$HAR,17:25:1,420272674,-936539390,283655,16516916,80,131,98540,2943,51261
$$HAR,17:25:4,420272718,-936539381,284778,16516916,150,131,98542,2944,51261
$$HAR,17:25:7,420272799,-936539369,286549,16516916,153,137,98542,2944,51261
$$HAR,17:25:10,420272798,-936539373,286537,16516916,77,187,98542,2945,51248
$$HAR,17:25:13,420272817,-936539375,286649,16516916,79,143,98542,2946,51236
$$HAR,17:25:16,420272816,-936539365,286322,16516916,45,143,98544,2946,51242
$$HAR,17:25:19,420272825,-936539386,287875,16516916,173,150,98542,2947,51244
$$HAR,17:25:22,420272915,-936539368,290090,16516916,72,150,98542,2947,51232
$$HAR,17:25:25,420272946,-936539367,291545,16516916,77,150,98542,2948,51238
$$HAR,17:25:28,420273034,-936539350,292812,10107598,21,158,98540,2948,51226
$$HAR,17:25:31,420272982,-936539347,292388,10107598,52,187,98542,2948,51238
$$HAR,17:25:34,420272869,-936539349,290978,10107598,104,191,98542,2949,51242
$$HAR,17:25:37,420272769,-936539359,289761,10107598,71,191,98542,2950,51230
$$HAR,17:25:40,420272824,-936539355,291194,10107598,48,155,98544,2950,51218
$$HAR,17:25:43,420272906,-936539339,292793,10107598,53,155,98542,2951,51202
$$HAR,17:25:46,420273008,-936539331,294583,10107598,93,155,98542,2951,51195
$$HAR,17:25:49,420273141,-936539325,296675,10107598,55,154,98542,2952,51192
$$HAR,17:25:52,420273232,-936539314,298262,10107598,87,154,98544,2952,51185
$$HAR,17:25:55,420273307,-936539300,299319,10107598,227,154,98544,2953,51185
$$HAR,17:25:58,420273414,-936539305,301127,10107598,222,155,98542,2953,51192
$$HAR,17:26:1,420273519,-936539307,302616,10107598,67,156,98542,2954,51177
$$HAR,17:26:4,420273667,-936539308,305044,10107598,93,156,98544,2954,51183
$$HAR,17:26:7,420273778,-936539306,306539,10107598,170,155,98544,2955,51177
$$HAR,17:26:10,420273841,-936539307,306915,10107598,142,155,98544,2955,51190
$$HAR,17:26:13,420273851,-936539311,306829,10107598,23,154,98546,2956,51186
$$HAR,17:26:16,420273739,-936539331,305150,10107598,85,161,98544,2957,51190
$$HAR,17:26:19,420273653,-936539356,303945,10107598,80,175,98544,2957,51184
$$HAR,17:26:22,420273534,-936539387,302250,10107598,123,135,98544,2958,51194
$$HAR,17:26:25,420273373,-936539407,300188,10107598,22,135,98548,2958,51200
$$HAR,17:26:28,420273328,-936539427,299363,10107598,106,130,98548,2959,51194
$$HAR,17:26:31,420273333,-936539445,299212,10107598,96,130,98548,2959,51186
$$HAR,17:26:34,420273335,-936539453,299080,10107598,81,155,98546,2960,51190
$$HAR,17:26:37,420273354,-936539465,299407,10107598,43,155,98548,2961,51165
$$HAR,17:26:40,420273401,-936539463,299976,10107598,166,185,98548,2961,51165
$$HAR,17:26:43,420273421,-936539454,299693,10107598,118,219,98546,2961,51159
$$HAR,17:26:46,420273472,-936539397,298470,10107598,64,226,98546,2962,51153
$$HAR,17:26:49,420273431,-936539483,297330,16082344,667,200,98546,2962,51139
$$HAR,17:26:52,420273764,-936539576,298135,2758338,885,155,98548,2963,51114
$$HAR,17:26:55,420274413,-936539533,302760,34903304,799,245,98550,2963,50899
$$HAR,17:26:58,420274490,-936539433,304927,34903304,94,163,98554,2963,50654
$$HAR,17:27:1,420274486,-936539272,308237,34903304,70,185,98554,2964,50528
$$HAR,17:27:4,420273590,-936539121,303248,34903304,82,133,98554,2964,50565
$$HAR,17:27:7,420273118,-936538979,301889,34903304,120,129,98556,2964,50654
$$HAR,17:27:10,420272809,-936538869,302560,34903304,96,119,98556,2965,50738
$$HAR,17:27:13,420272637,-936538851,302835,34903304,67,123,98556,2965,50789
$$HAR,17:27:16,420272564,-936538803,302710,34903304,82,122,98556,2966,50853
$$HAR,17:27:19,420272522,-936538758,302383,34903304,50,126,98556,2966,50884
$$HAR,17:27:22,420272478,-936538740,302200,34903304,28,127,98557,2967,50912
$$HAR,17:27:25,420272440,-936538722,301994,34903304,19,122,98556,2967,50932
$$HAR,17:27:28,420272409,-936538700,302542,34903304,101,122,98556,2968,50947
$$HAR,17:27:31,420272394,-936538578,303961,34903304,67,118,98557,2969,50964
$$HAR,17:27:34,420272346,-936538424,305199,34903304,36,125,98556,2969,50976
$$HAR,17:27:37,420272335,-936538349,306757,34903304,21,140,98556,2970,50984
$$HAR,17:27:40,420272320,-936538317,307772,34903304,26,131,98556,2971,50996
$$HAR,17:27:43,420272290,-936538286,307358,34903304,54,121,98556,2972,51031
